task,profile,family,group,topology,mode,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,9,16,1983121,1983121,1982609,512,4,500,0.001,1,False,8,28889827200
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,10,16,2199073,2199073,2199073,0,4,500,0.001,1,False,8,28889827200
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,10,16,2205473,2205473,2199073,6400,4,500,0.001,1,False,8,28889827200
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,10,16,2199585,2199585,2199073,512,4,500,0.001,1,False,8,28889827200
darcy,paper_table8_on_release_model,linearno,depth_extension,independent_L16,native_residual,128,8,16,conv_temp,64,2,128,16,16,3530625,3530625,3530625,0,4,500,0.001,1,False,8,32677808000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,9,16,2001041,2001041,2001041,0,4,500,0.001,1,False,8,32677808000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,9,16,2008465,2008465,2001041,7424,4,500,0.001,1,False,8,32677808000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,9,16,2001553,2001553,2001041,512,4,500,0.001,1,False,8,32677808000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,10,16,2219553,2219553,2219553,0,4,500,0.001,1,False,8,32677808000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,10,16,2225953,2225953,2219553,6400,4,500,0.001,1,False,8,32677808000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,10,16,2220065,2220065,2219553,512,4,500,0.001,1,False,8,32677808000
darcy,paper_table8_on_release_model,linearno,depth_extension,independent_L24,native_residual,128,8,16,conv_temp,64,1,64,24,24,5229569,5229569,5229569,0,4,500,0.001,1,False,8,43213129600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,13,24,2848465,2848465,2848465,0,4,500,0.001,1,False,8,43213129600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,13,24,2859985,2859985,2848465,11520,4,500,0.001,1,False,8,43213129600
